Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Graduate,Male,Engineering,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Availability of courses","Cost, Availability of courses",3,"Poor internet connection, Technical difficulties",Sometimes,Neutral,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Strongly agree,Offline,Offline
High School,Male,Arts,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Interaction with peers/instructors, Availability of courses",Quality of education,4,"Difficulty staying motivated, Technical difficulties",Very often,Neutral,No,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Good,Disagree,Online,Online
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Rarely,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Business,Domestic student,Part-time,Offline (In-person),No,"Flexibility in schedule, Cost, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",1,"Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Medical,Foreign (International) student,Not working,Online,No,"Cost, Convenience of location, Quality of education","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers",3,"Poor internet connection, Difficulty staying motivated, Lack of access to course materials",Very often,Satisfied,Yes,More structured schedule,Neutral,Average,Neutral,Online,Online
Undergraduate,Female,Medical,Foreign (International) student,Not working,Offline (In-person),No,Avoiding travel/commute time,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
High School,Male,Engineering,Domestic student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Interaction with peers/instructors","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,Yes,"More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Neutral,Good,Agree,Offline,Offline
Graduate,Female,Engineering,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of access to course materials, Doubts remain unclear",Sometimes,Unsatisfied,Yes,"More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Neutral,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Neutral,Online,Online
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Convenience of location, Interaction with peers/instructors, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",5,"Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Medical,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Female,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Cost, Avoiding travel/commute time","Flexibility in schedule, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers",2,Difficulty staying motivated,Sometimes,Satisfied,Yes,"Easier to focus, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Economics,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Poor internet connection, Technical difficulties",Sometimes,Satisfied,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Good,Agree,Online,Online
Undergraduate,Female,Science,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials",Rarely,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Arts,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Interaction with peers/instructors","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",2,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Lack of access to course materials",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule, Doubt clarity",Satisfied,Good,Neutral,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Avoiding travel/commute time","Flexibility in schedule, Cost, Face-to-face interaction with instructors and peers",2,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.)",Very satisfied,Good,Agree,Offline,Offline
